procedure,from_step,to_step
UK Public Bills,SC AB,Legislative consent memorandum tabled by the Welsh Government
UK Public Bills,Legislative consent memorandum tabled by the Welsh Government,SC AC
UK Public Bills,SC AC,Legislative consent memorandum tabled by a Member including a draft legislative consent memorandum
UK Public Bills,Legislative consent memorandum tabled by the Welsh Government,SC AA
UK Public Bills,SC AD,Welsh Government intends to table a legislative consent motion
UK Public Bills,SC AE,Welsh Government does not intend to table a legislative consent motion
UK Public Bills,SC AA,SC AF
UK Public Bills,SC AF,SC AF
UK Public Bills,SC AF,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee"
UK Public Bills,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee",SC AI
UK Public Bills,SC AI,SC AF
UK Public Bills,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee",SC AG
UK Public Bills,SC AG,SC AG
UK Public Bills,SC AG,"Call for evidence by the Legislation, Justice and Constitution Committee"
UK Public Bills,"Call for evidence by the Legislation, Justice and Constitution Committee",SC AJ
UK Public Bills,SC AJ,SC AG
UK Public Bills,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee",SC AH
UK Public Bills,SC AH,"Oral evidence session by the Legislation, Justice and Constitution Committee"
UK Public Bills,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee",SC AH
UK Public Bills,"Referred to the Legislation, Justice and Constitution Committee by the Business Committee",SC AH
UK Public Bills,SC AH,"Considered by the Legislation, Justice and Constitution Committee"
UK Public Bills,"Considered by the Legislation, Justice and Constitution Committee",SC AK
UK Public Bills,SC AK,SC AH
UK Public Bills,"Considered by the Legislation, Justice and Constitution Committee",SC AI
UK Public Bills,SC AI,"Government response to the report by the Legislation, Justice and Constitution Committee"
UK Public Bills,"Considered by the Legislation, Justice and Constitution Committee",SC AI
UK Public Bills,"Considered by the Legislation, Justice and Constitution Committee",SC AA
UK Public Bills,SC AA,SC AL
UK Public Bills,SC AL,SC AB
UK Public Bills,SC AA,SC AI
UK Public Bills,SC AA,SC AP
UK Public Bills,SC AF,SC AI
UK Public Bills,SC AI,Deadline set by the Business Committee
UK Public Bills,Deadline set by the Business Committee,SC AF
UK Public Bills,Deadline set by the Business Committee,SC AM
UK Public Bills,SC AM,Request for change to deadline
UK Public Bills,Request for change to deadline,SC AB
UK Public Bills,SC AB,SC AH
UK Public Bills,SC AH,SC AC
UK Public Bills,SC AC,SC AN
UK Public Bills,SC AC,SC AO
UK Public Bills,SC AN,Business Committee agrees to change deadline
UK Public Bills,Business Committee agrees to change deadline,SC AC
UK Public Bills,SC AO,Business Committee does not agree to change deadline
UK Public Bills,Business Committee does not agree to change deadline,SC AC
UK Public Bills,SC AC,SC AB
UK Public Bills,Deadline set by the Business Committee,SC AK
UK Public Bills,Deadline set by the Business Committee,SC AJ
UK Public Bills,SC AJ,Committee consideration deadline ends
UK Public Bills,Committee consideration deadline ends,SC AG
UK Public Bills,SC AG,SC AJ
UK Public Bills,Committee consideration deadline ends,SC AK
Legislative Reform Order,LRO AX,LROLD AA
Legislative Reform Order,LRO AZ,LROLD AA
Legislative Reform Order,LROLD AA,LROLD AA
Legislative Reform Order,LROLD AA,LROLD AA
Legislative Reform Order,LROLD AA,LROLD AB
Legislative Reform Order,LROLD AA,LROLD AA
Legislative Reform Order,LRO AY,LROLD AA
Legislative Reform Order,LRO AY,LROLD AB
Legislative Reform Order,LROLD AA,LROLD AB
Legislative Reform Order,LROLD AB,LROLD AC
Legislative Reform Order,LRO BK,LROLD AC
Legislative Reform Order,LROLD AC,LROLD AD
Legislative Reform Order,LROLD AD,LROLD AF
Legislative Reform Order,LROLD AB,LROLD AC
Legislative Reform Order,LRO BK,LROLD AD
Legislative Reform Order,LROLD AC,LROLD AD
Legislative Reform Order,LROLD AD,LROLD AE
Legislative Reform Order,LROLD AE,LROLD AM
Legislative Reform Order,LRO AV,LROLD AH
Legislative Reform Order,Instrument has been determined to follow the negative procedure,LROLD AH
Legislative Reform Order,LROLD AH,LROLD AI
Legislative Reform Order,LRO BH,LROLD AI
Legislative Reform Order,LROLD AI,LROLD AI
Legislative Reform Order,LROLD AI,LROLD AE
Legislative Reform Order,LROLD AE,LROLD AJ
Legislative Reform Order,LROLCC AF,LROLD AJ
Legislative Reform Order,LROLD AJ,LROLD AK
Legislative Reform Order,LROLD AC,LROLD AK
Legislative Reform Order,LRO AO,LROLD AC
Legislative Reform Order,LROLD AK,LROLD AJ
Legislative Reform Order,LROLD AJ,LROLD AG
Legislative Reform Order,LROLD AH,LROLD AD
Legislative Reform Order,LROLD AD,Chamber debate
Legislative Reform Order,LRO AO,LROLD AB
Legislative Reform Order,LRO AY,DPRRC AA
Legislative Reform Order,DPRRC AA,DPRRC AB
Legislative Reform Order,DPRRC AB,DPRRC AC
Legislative Reform Order,DPRRC AC,DPRRC AA
Legislative Reform Order,DPRRC AA,Motion tabled that Standing Order 73 be dispensed with to enable motion to approve to be moved
Legislative Reform Order,DPRRC AA,LROAFF AZ
Legislative Reform Order,LROAFF AZ,LROAFF AR
Legislative Reform Order,LROLD AB,LROLD AE
Legislative Reform Order,LROLCC AF,LROLD AF
Legislative Reform Order,LROLCC AF,LROLD AG
Legislative Reform Order,LROLD AF,LROLD AE
Legislative Reform Order,LROLD AE,LROLD AL
Legislative Reform Order,LROLD AF,LROLD AC
Legislative Reform Order,LROLD AH,Grand Committee debate
Legislative Reform Order,LROLD AA,LROLD AH
Legislative Reform Order,LROLD AC,LROLD AA
Legislative Reform Order,LROLD AG,LROLD AC
Legislative Reform Order,LROLD AN,LROLD AG
Legislative Reform Order,LRO AW,LROLD AN
Legislative Reform Order,LRO AU,LROLD AG
Legislative Reform Order,LROLD AL,LROLD AF
Legislative Reform Order,DPRRC AA,LROLD AL
Legislative Reform Order,LROLD AM,LROLD AE
Legislative Reform Order,DPRRC AA,LROLD AM
Legislative Reform Order,LROLD AD,LROLD AN
Legislative Reform Order,LROLD AK,LROLD AD
Legislative Reform Order,LROLD AF,LROLD AK
Legislative Reform Order,LRO AU,LROLD AF
Legislative Reform Order,LRO AV,LROLD AF
Legislative Reform Order,LROLD AG,LROLD AB
Legislative Reform Order,LROLD AB,LROLD AL
Legislative Reform Order,LROLD AL,LROLD AG
Legislative Reform Order,LROLD AG,LROLD AD
Made affirmative,LGFR AA,LGFR AA
Made affirmative,LGFR AA,LGFR AA
Made affirmative,LGFR AA,LGFR AC
Made affirmative,LGFR AC,Decision on a motion to approve the Local Government Finance Report (England) deferred
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Commons,TREATY ITC AS
Legislative Reform Order,LROCPD AS,LROCPD AA
Legislative Reform Order,Procedure considered by the Business and Trade Committee,LROCPD AS
Legislative Reform Order,Business and Trade Committee agrees the instrument should follow the negative procedure,LROCPD AT
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the negative procedure",LROCPD AT
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the affirmative procedure",LROCPD AU
Legislative Reform Order,Business and Trade Committee agrees the instrument should follow the affirmative procedure,LROCPD AU
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the affirmative procedure",LROCPD AV
Legislative Reform Order,Business and Trade Committee recommends that the instrument should be upgraded to the affirmative procedure,LROCPD AV
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the super-affirmative procedure",LROCPD AW
Legislative Reform Order,Business and Trade Committee recommends that the instrument should be upgraded to the super-affirmative procedure,LROCPD AW
Legislative Reform Order,Procedure considered by the Business and Trade Committee,LROCPD AV
Legislative Reform Order,LROCPD AV,Government response to procedure recommendation by the Business and Trade Committee
Legislative Reform Order,Procedure considered by the Business and Trade Committee,LROCPD AE
Legislative Reform Order,LROCPD AE,LROCPD AJ
Legislative Reform Order,LROCPD AN,LROCPD AE
Legislative Reform Order,LROCPD AJ,LROCPD AS
Legislative Reform Order,LROCPD AS,LROCPD BB
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD BB
Legislative Reform Order,LROCPD BB,LROCPD AW
Legislative Reform Order,LROCPD AW,Business and Trade Committee agrees the instrument should follow the negative procedure
Legislative Reform Order,Business and Trade Committee agrees the instrument should follow the negative procedure,LROCPD AN
Legislative Reform Order,LROCPD AS,LROCPD BC
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD BC
Legislative Reform Order,LROCPD BC,LROCPD AX
Legislative Reform Order,Regulatory Reform Committee (RRC) reports that the instrument is not appropriate to be made,LROCCC AD
Legislative Reform Order,Business and Trade Committee reports that the instrument is not appropriate to be made,LROCCC AD
Legislative Reform Order,LRO AE,LROCCC AM
Legislative Reform Order,LROCCC AM,Considered by the Business and Trade Committee
Legislative Reform Order,Considered by the Business and Trade Committee,LROCCC AK
Legislative Reform Order,LROCCC AK,LROCCC AM
Legislative Reform Order,Considered by the Business and Trade Committee,Government response to the decision made by the Business and Trade Committee
Legislative Reform Order,Considered by the Business and Trade Committee,LROCCC AE
Legislative Reform Order,LROCCC AE,LROCCC AL
Legislative Reform Order,LROCCC AL,LROCCC AJ
Legislative Reform Order,LROCCC AJ,LROCCC AR
Legislative Reform Order,LROCCC AJ,LROCCC AS
Legislative Reform Order,LROCCC AJ,LROCCC AN
Legislative Reform Order,LROCCC AR,No concerns raised by the Business and Trade Committee
Legislative Reform Order,LROCCC AS,Concerns raised by the Business and Trade Committee
Legislative Reform Order,LROCCC AN,LROCCC AT
Legislative Reform Order,LROCCC AT,Business and Trade Committee reports that the instrument is not appropriate to be made
Legislative Reform Order,LROCCC AI,LROCCC AN
Legislative Reform Order,No concerns raised by the Business and Trade Committee,LROCCC AJ
Legislative Reform Order,Concerns raised by the Business and Trade Committee,LROCCC AK
Legislative Reform Order,Business and Trade Committee reports that the instrument is not appropriate to be made,LROCCC AK
Legislative Reform Order,LROCCC AK,LROCCC AJ
Legislative Reform Order,LROCCC AJ,LROCCC AE
Legislative Reform Order,Motion to disagree with the decision made by the Commons committee withdrawn,LROCCC AC
Legislative Reform Order,LROCPD AX,Business and Trade Committee agrees the instrument should follow the affirmative procedure
Legislative Reform Order,Business and Trade Committee agrees the instrument should follow the affirmative procedure,LROCPD AP
Legislative Reform Order,LROCPD AS,LROCPD BD
Legislative Reform Order,LROCPD BD,Business and Trade Committee agrees the instrument should follow the super-affirmative procedure
Legislative Reform Order,Minister recommends the instrument follow the super-affirmative procedure,LROCPD BD
Legislative Reform Order,Business and Trade Committee agrees the instrument should follow the super-affirmative procedure,LROCPD AQ
Legislative Reform Order,LROCPD AS,LROCPD BE
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD BE
Legislative Reform Order,LROCPD BE,LROCPD AY
Legislative Reform Order,LROCPD AY,Business and Trade Committee recommends that the instrument should be upgraded to the affirmative procedure
Legislative Reform Order,Business and Trade Committee recommends that the instrument should be upgraded to the affirmative procedure,LROCPD AQ
Legislative Reform Order,LROCPD AS,LROCPD BF
Legislative Reform Order,LROCPD AX,LROCPD BF
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AX
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AX
Legislative Reform Order,LROCPD BF,LROCPD AZ
Legislative Reform Order,LROCPD AZ,Business and Trade Committee recommends that the instrument should be upgraded to the super-affirmative procedure
Legislative Reform Order,Business and Trade Committee recommends that the instrument should be upgraded to the super-affirmative procedure,LROCPD AO
Legislative Reform Order,LROCPD AQ,LROCPD AP
Legislative Reform Order,LROCPD AP,LROCPD AO
Legislative Reform Order,LROCPD AO,LROCPD AN
Legislative Reform Order,LRO AC,LROCPD BH
Legislative Reform Order,LROCPD BH,Procedure considered by the Business and Trade Committee
Legislative Reform Order,LROCPD AA,LROCPD BI
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY ITC AP
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AP,Correspondence published by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,TREATY ITC AS
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AS,TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,TREATY ITC AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AA,TREATY ITC AF
